,Year,Data Type,Institution,Degree Name,Discipline Name,Non Res Alien M,Non Res Alien F,Unknown M,Unknown F,Hispanic M,Hispanic F,American Indian M,American Indian F,Asian American M,Asian American F,African American M,African American F,Hawaiian/pac.isl M,Hawaiian/pac.isl F,White M,White F,Multiracial M,Multiracial F,Total
156,2019,Enrollment,Arizona State University,Civil Engineering (B.S.E.),Civil/Environmental Engineering,85,19,5,2,117,52,9,4,23,11,17,8,0,2,212,69,20,6,661
157,2019,Enrollment,Arizona State University,Computer Science (B.S.),Computer Science (inside engineering),265,39,33,2,389,75,15,3,495,127,61,16,3,1,953,176,105,32,2790
158,2019,Enrollment,Arizona State University,Computer Systems Engineering (B.S.E.),Computer Engineering,33,3,4,0,78,11,5,0,51,11,10,7,1,1,160,14,18,4,411
159,2019,Enrollment,Arizona State University,Construction Engineering (B.S.E.),Civil Engineering,15,0,1,0,22,5,1,0,0,3,1,0,0,0,30,2,0,0,80
160,2019,Enrollment,Arizona State University,Construction Management and Technology (B.S.),Construction Engineering Technology,3,1,3,0,104,18,9,3,10,1,3,1,0,0,211,19,9,1,396
161,2019,Enrollment,Arizona State University,Electrical Engineering (B.S.E.),Electrical Engineering,112,6,11,1,190,21,9,5,90,17,31,2,4,0,493,84,26,12,1114
162,2019,Enrollment,Arizona State University,Engineering (B.S.E.),Engineering (General),67,5,7,2,185,55,9,2,43,9,27,4,2,2,386,39,28,9,881
163,2019,Enrollment,Arizona State University,Engineering Management (B.S.E.),Industrial/Manufacturing/Systems Engineering,11,4,1,0,30,17,2,1,12,6,5,4,1,1,125,42,5,7,274
164,2019,Enrollment,Arizona State University,Environmental & Resource Management (B.S.),Other Eng. Technology Disciplines,2,0,0,0,4,3,2,0,1,1,0,1,0,0,7,9,1,1,32
165,2019,Enrollment,Arizona State University,Environmental Engineering (B.S.E.),Environmental Engineering,4,1,0,0,17,25,1,2,5,4,1,0,0,0,26,44,2,9,141
166,2019,Enrollment,Arizona State University,"Graphic Information Technology (B.S., B.A.S.)",Computer Engineering Technology,5,3,1,6,70,74,4,5,23,26,9,18,0,2,144,195,15,21,621
167,2019,Enrollment,Arizona State University,Human Systems Engineering (B.S.),Other Eng. Technology Disciplines,1,0,1,0,17,7,0,0,4,4,4,3,1,0,14,19,3,1,79
168,2019,Enrollment,Arizona State University,Industrial Engineering (B.S.E.),Industrial/Manufacturing/Systems Engineering,83,19,1,4,29,19,0,0,21,10,2,2,0,0,65,27,3,6,291
169,2019,Enrollment,Arizona State University,Informatics (B.S.),Computer Science (inside engineering),4,2,0,0,27,9,1,0,18,5,4,3,0,0,43,14,6,4,140
170,2019,Enrollment,Arizona State University,Information Technology (B.S.),Computer Engineering Technology,20,2,7,1,112,23,8,2,60,15,48,17,2,3,357,70,27,13,787
171,2019,Enrollment,Arizona State University,Manufacturing Engineering (B.S.),Industrial/Manufacturing/Systems Engineering,2,1,0,0,3,1,0,0,4,0,2,1,0,0,21,1,4,0,40
172,2019,Enrollment,Arizona State University,Materials Science and Engineering (B.S.E.),Metallurgical and Matrls. Engineering,13,2,1,1,10,7,3,1,9,5,3,1,0,0,61,16,6,3,142
173,2019,Enrollment,Arizona State University,Mechanical Engineering (B.S.E.),Mechanical Engineering,107,7,7,3,281,45,10,3,82,26,20,6,2,1,632,96,47,14,1389
174,2019,Enrollment,Arizona State University,Software Engineering (B.S.),Computer Science (inside engineering),5,3,9,1,68,23,5,1,43,14,19,9,2,0,283,52,21,5,563
175,2019,Enrollment,Arizona State University,"Technological Entrepreneurship & Management (B.S., B.A.S.)",Industrial/Manufacturing Eng. Tech.,6,3,5,0,32,11,1,2,8,8,9,1,1,0,100,28,13,3,231
176,2019,Enrollment,Arizona State University,Aeronautical Management Technology (M.S. Tech.),Aerospace Engineering Technology,3,0,0,0,2,0,0,0,0,0,0,0,0,0,3,5,0,0,13
177,2019,Enrollment,Arizona State University,Aerospace Engineering (M.S.),Aerospace Engineering,16,4,0,0,5,0,0,0,3,0,0,0,0,0,16,2,2,0,48
178,2019,Enrollment,Arizona State University,Biomedical Engineering (M.S.),Biomedical Engineering,5,16,1,0,5,3,1,0,2,3,1,0,0,0,14,9,3,4,67
179,2019,Enrollment,Arizona State University,Chemical Engineering (M.S.),Chemical Engineering,21,2,0,0,3,0,0,0,2,1,0,0,0,0,8,6,1,0,44
180,2019,Enrollment,Arizona State University,"Civil, Environmental and Sustainable Engineering (Civil) (M.S., M.S.E.)",Civil Engineering,19,8,0,0,1,0,0,0,0,0,0,0,0,0,6,1,1,0,36
181,2019,Enrollment,Arizona State University,"Civil, Environmental and Sustainable Engineering (Env.) (M.S., M.S.E.)",Environmental Engineering,8,4,0,0,1,2,0,0,0,1,0,0,0,0,5,2,0,0,23
182,2019,Enrollment,Arizona State University,Computer Engineering (M.S.),Computer Engineering,149,70,1,0,3,0,0,0,2,0,0,0,0,0,6,0,4,0,235
183,2019,Enrollment,Arizona State University,"Computer Science (M.S., M.C.S.)",Computer Science (inside engineering),530,159,1,0,9,0,2,1,18,9,1,0,0,0,30,1,2,2,765
184,2019,Enrollment,Arizona State University,Construction Engineering (M.S.E.),Civil Engineering,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
185,2019,Enrollment,Arizona State University,Construction Management and Technology (M.S.),Construction Engineering Technology,30,17,0,1,3,0,0,1,2,0,0,1,0,0,9,5,0,2,71
186,2019,Enrollment,Arizona State University,"Electrical Engineering (M.S., M.S.E.)",Electrical Engineering,201,70,0,1,8,1,1,0,5,2,2,0,0,0,31,3,1,1,327
187,2019,Enrollment,Arizona State University,"Engineering (M.Eng., M.S.)",Engineering (General),11,2,0,0,4,1,1,0,3,3,3,1,0,0,24,2,2,1,58
188,2019,Enrollment,Arizona State University,Engineering Science ( M.S.E.),Other Engineering Disciplines,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,4
189,2019,Enrollment,Arizona State University,Environmental and Resource Management,Other Eng. Technology Disciplines,7,5,0,0,0,2,0,2,0,0,0,0,0,0,3,5,1,0,25
190,2019,Enrollment,Arizona State University,Graphic Information technology (M.S.),Computer Engineering Technology,0,0,0,0,2,3,0,0,0,0,0,0,0,0,5,13,0,1,24
